year,source,type,title,url,doi,article_doi,matched_term
2025,zenodo,dataset,"Dataset related to article: ""Evaluation of Functional Outcomes, Survivorship and Compli-cations of Hypoallergenic Fixed-Bearing Medial and Lateral Unicompartmental Knee Arthroplasty: A minim",https://zenodo.org/records/14946059,10.5281/zenodo.14946059,,knee osteoarthritis
2025,zenodo,dataset,HomeCoRe for Telerehabilitation in Mild or Major Neurocognitive Disorders: A Non-Inferiority Randomized Controlled Trial,https://zenodo.org/records/15389025,10.5281/zenodo.15389025,,telerehabilitation
2025,zenodo,dataset,UCOPhyRehab++: Multi-modal and multi-view dataset for human rehabilitation analysis,https://zenodo.org/records/17935737,10.5281/zenodo.17935737,,telerehabilitation
2025,zenodo,dataset,Dataset for Non-immersive virtual reality as a telerehabilitation protocol on precision and accuracy performance in individuals with cerebral palsy: a non-randomized controlled clinical tria,https://zenodo.org/records/17468973,10.5281/zenodo.17468973,,telerehabilitation
2025,zenodo,software,Motion Tracking for Automatically Controlled Functional Electrical Stimulation System in Mirror Therapy Configuration: the Enhanced Lazarus Solution,https://zenodo.org/records/15656253,10.5281/zenodo.15656253,,telerehabilitation
2025,zenodo,dataset,TO COMPARE THE EFFICACY OF TWO DIFFERENT SOFT TISSUE RELEASE TECHNIQUES IN TREATING INDIVIDUALS WITH TERMINAL SHOULDER FLEXION DYSFUNCTION: A PILOT STUDY,https://zenodo.org/records/14882061,10.21474/IJAR01/20193,,manual therapy
2025,zenodo,dataset,"Data Generated for ""Rehabilitation at Home Using Mobile Health for Older Adults Hospitalized for Ischemic Heart Disease: The RESILIENT Randomized Clinical Trial""",https://zenodo.org/records/15784638,10.5281/zenodo.15784638,10.1001/jamanetworkopen.2024.53499,cardiac rehabilitation
2024,dryad,dataset,"Extended data for behavioural change for Parkinson’s disease: A randomised controlled feasibility study to promote physical activity and exercise adherence among people with Parkinson’s, stu",https://datadryad.org/dataset/10.5061/dryad.prr4xgxt5,10.5061/dryad.prr4xgxt5,,physiotherapy
2024,dryad,dataset,Auriculotherapy treatment in fibromyalgia: A randomized trial,https://datadryad.org/dataset/10.5061/dryad.r2280gbms,10.5061/dryad.r2280gbms,,physical therapy
2024,zenodo,dataset,Exploring the Impact of Physiotherapy on Health Outcomes in Elderly Patients with Chronic Diseases: A Cross-Sectional Analysis,https://zenodo.org/records/10781036,10.5281/zenodo.10781036,,physiotherapy
2024,zenodo,dataset,FORCe step-down-and-pivot biomechanical dataset,https://zenodo.org/records/10556255,10.5281/zenodo.10556255,,physiotherapy
2024,zenodo,dataset,"Extended data for behavioural change for Parkinson's disease: A randomised controlled feasibility study to promote physical activity and exercise adherence among people with Parkinson's, stu",https://zenodo.org/records/10460938,10.5061/dryad.prr4xgxt5,,physiotherapy
2024,zenodo,dataset,Feasibility of a Randomized Controlled Trial of Large Artificial Intelligence-Based Linguistic Models for Clinical Reasoning Training of Physical Therapy Students.,https://zenodo.org/records/12600488,10.5281/zenodo.12600488,,physical therapy
