"study_id","grid_type","n_spec","d_published","delta_median","delta_min","delta_max","abs_delta_max","share_within_0.1","share_within_0.2","share_same_sign_as_published","any_sign_reversal"
"creatine_PMC11944689","principled",9,0.0438705365328043,0.00068858044014513,-3.67761376907083e-16,0.212473894765199,0.212473894765199,0.666666666666667,0.666666666666667,1,FALSE
"creatine_PMC11944689","defensible",24,0.0438705365328043,-3.67761376907083e-16,-0.0226667749190721,0.23581070088233,0.23581070088233,0.666666666666667,0.666666666666667,1,FALSE
"etip_PMC6886967","principled",9,0.191594224595096,6.66133814775094e-16,-0.146882953922105,0.0619810588166136,0.146882953922105,0.666666666666667,1,1,FALSE
"etip_PMC6886967","defensible",24,0.191594224595096,-0.00408196985381984,-0.146882953922105,0.0619810588166136,0.146882953922105,0.875,1,1,FALSE
"etre_PMC11945196","principled",9,-0.903433434176116,3.33066907387547e-14,-0.336729451656424,0.0295153750677773,0.336729451656424,0.666666666666667,0.666666666666667,1,FALSE
"etre_PMC11945196","defensible",9,-0.903433434176116,3.33066907387547e-14,-0.336729451656424,0.0295153750677773,0.336729451656424,0.666666666666667,0.666666666666667,1,FALSE
"gainingmore_PMC10809978","principled",9,-0.0627708372200306,-0.0272801100301313,-0.404742534386032,0.00273895859462205,0.404742534386032,0.666666666666667,0.666666666666667,1,FALSE
"gainingmore_PMC10809978","defensible",9,-0.0627708372200306,-0.0272801100301313,-0.404742534386032,0.00273895859462205,0.404742534386032,0.666666666666667,0.666666666666667,1,FALSE
"lytras_fms_PMC12942207","principled",9,-0.785436780230239,-0.0982449525612482,-0.229085727567151,1.77635683940025e-15,0.229085727567151,0.666666666666667,0.666666666666667,1,FALSE
"lytras_fms_PMC12942207","defensible",9,-0.785436780230239,-0.0982449525612482,-0.229085727567151,1.77635683940025e-15,0.229085727567151,0.666666666666667,0.666666666666667,1,FALSE
"mallorca_PMC8198819","principled",3,-0.316381140232701,0.00116373870520031,0.00116373870520031,0.00116373870520031,0.00116373870520031,1,1,1,FALSE
"mallorca_PMC8198819","defensible",5,-0.316381140232701,0.00116373870520031,0.00116373870520031,0.00965500179251633,0.00965500179251633,1,1,1,FALSE
"physiofeedback_PMC12821712","defensible",22,0.0526041776079761,0.0107041042177668,-0.0719958765676913,0.0291321150347571,0.0719958765676913,1,1,0.909090909090909,TRUE
"spadi_PMC4880881","principled",9,-0.913052163251587,-0.0618683031882297,-0.0881804116590528,0.00933365739843428,0.0881804116590528,1,1,1,FALSE
"spadi_PMC4880881","defensible",24,-0.913052163251587,-0.0391276691078377,-0.0881804116590528,0.0436705771842864,0.0881804116590528,1,1,1,FALSE
"tdcs_PMC13257960","principled",9,1.4053959832827,0.0183054089261745,4.66293670342566e-15,0.0569436079624546,0.0569436079624546,1,1,1,FALSE
"tdcs_PMC13257960","defensible",9,1.4053959832827,0.0183054089261745,4.66293670342566e-15,0.0569436079624546,0.0569436079624546,1,1,1,FALSE
"tereco_PMC8318721","principled",18,0.83798480470353,0.00481288727013574,-0.0451159700960078,0.0754239601819883,0.0754239601819883,1,1,1,FALSE
"tereco_PMC8318721","defensible",48,0.83798480470353,-0.0299144299887497,-0.151751669529223,0.0791803176138732,0.151751669529223,0.791666666666667,1,1,FALSE
"tscs_PMC13085461","principled",9,0.975109014672083,0.0550462498425166,6.66133814775094e-16,0.386317345758337,0.386317345758337,0.666666666666667,0.666666666666667,1,FALSE
"tscs_PMC13085461","defensible",9,0.975109014672083,0.0550462498425166,6.66133814775094e-16,0.386317345758337,0.386317345758337,0.666666666666667,0.666666666666667,1,FALSE
"free_PMC6733445","principled",35,0.139107858844089,-0.0480155230711721,-0.082877592895683,-0.0221798542510363,0.082877592895683,1,1,1,FALSE
"free_PMC6733445","defensible",96,0.139107858844089,-0.0471382850889102,-0.199586214329931,-0.0016991301601553,0.199586214329931,0.9375,1,0.947916666666667,TRUE
