"study_id","published_d","med_p","diff_d"
"creatine_PMC11944689",0.0440997770491987,0.0445591169729494,-0.000459339923750697
"etip_PMC6886967",0.191833451815221,0.191594224595097,0.000239227220123983
"etre_PMC11945196",-0.905026791202848,-0.903433434176083,-0.001593357026765
"free_PMC6733445",0.136635290330863,0.0910923357729172,0.0455429545579458
"gainingmore_PMC10809978",-0.0767982357016106,-0.0900509472501619,0.0132527115485513
"lytras_fms_PMC12942207",-0.785436780230239,-0.883681732791487,0.098244952561248
"mallorca_PMC8198819",-0.319068593211434,-0.315217401527501,-0.003851191683933
"physiofeedback_PMC12821712",0.0501547244567173,0.108440985035858,-0.0582862605791407
"spadi_PMC4880881",-0.911754806228564,-0.974920466439817,0.063165660211253
"tdcs_PMC13257960",1.40572317786839,1.42370139220887,-0.0179782143404799
"tereco_PMC8318721",0.838028698240042,0.842797691973665,-0.00476899373362305
"tscs_PMC13085461",0.975600366313781,1.0301552645146,-0.0545548982008189
