"study_id","n","sd_pooled_indep","d_endpoint","d_change","d_ancova","range_baseline_only_indep","range_principled_pipeline","est_endpoint","est_ancova","published","pipeline_recomputed"
"physiofeedback_PMC12821712",276,0.339297588650059,0.0493100032653783,NA,NA,0,0.0346514004837741,0.0167307652042694,NA,0.02,0.0145279496096584
"mulligan_PMC13092435",29,1.38262077651112,-0.320302681965072,-0.117099905234543,-0.219613272215859,0.20320277673053,0.203202776730529,-0.442857142857142,-0.303641872963238,NA,NA
"lytras_fms_PMC12942207",40,1.52781233347417,-0.785436780230237,-1.01452250779739,-0.883681732791487,0.229085727567153,0.229085727567153,-1.2,-1.35009985022466,-1.2,-1.2
"clusterset_PMC13140343",36,31.8392765043282,0.154850897965766,NA,NA,0,0.015857885590291,4.93034055727554,NA,NA,NA
"tereco_PMC8318721",112,78.0999506788403,0.913408764885518,0.80807037471478,0.851499539487428,0.105338390170737,0.151748721603796,71.3371794871794,66.5020720370234,65.45,63.9260482269352
"spadi_PMC4880881",71,22.8131509238085,-0.903718505853153,-1.00123257491064,-0.974920466439817,0.0975140690574894,0.097514069057487,-20.6166666666667,-22.2410077396013,-20.8,-22.2410077396013
"tscs_PMC13085461",20,7.8618256663642,1.36142636043042,1.0301552645146,0.975109014672084,0.386317345758341,0.386317345758336,10.7032967032967,7.66613707905209,7.67,7.66613707905209
"tdcs_PMC13257960",20,4.87293665484493,1.4053959832827,1.46233959124515,1.42370139220887,0.0569436079624563,1.07845170087248,6.84840560151008,6.93760669964839,6.85,6.84840560151008
"etip_PMC6886967",59,13.5534234274447,0.0447112706729914,0.25357528341171,0.191594224595097,0.208864012738718,0.244336174686799,0.605990783410141,2.59675765219028,2.6,2.59675765219028
"phosphatidic_PMC4891923",18,9.90089934557663,0.0637453570233839,0.104627777210148,0.105685323791767,0.0419399667683827,0.0419399667683831,0.63113636363637,1.04637975316696,NA,NA
"facial_PMC11164989",23,18.5971281278367,1.55489957739138,1.45428123953032,1.49482166205522,0.100618337861062,0.11039501846294,28.9166666666667,27.7993899775068,NA,NA
"gainingmore_PMC10809978",39,8.203313451728,-0.467513371606063,-0.0600318786254086,-0.0900509472501619,0.407481492980655,0.407481492980654,-3.83515873015873,-0.738716146918102,-0.63,-0.492460317460317
"etre_PMC11945196",16,2.35352148765571,-1.24016288583254,NA,NA,0,0,-2.91875,NA,-2.92,-2.91875
"creatine_PMC11944689",63,11.5646843164543,0.256344431298003,0.0445591169729494,0.0438705365328039,0.212473894765199,0.212473894765199,2.96454242424242,0.507348905795354,0.51,0.507348905795354
"free_PMC6733445",214,4.17168945606764,0.095181871330815,0.0721587775095768,0.0910923357729172,0.0230230938212382,0.147820333407712,0.397069209039548,0.380008936672451,0.57,0.402983278168328
"mallorca_PMC8198819",263,2.19388562488862,-0.315217401527501,NA,NA,0,0.079450612000072,-0.69155092592593,NA,-0.7,-0.657062199185489
