"study_id","v1_med","v1_range","v1_sign","v2_med","v2_range","v2_sign","sign_flip"
"physiofeedback_PMC12821712",0.0498387817217138,0.0173130372628459,1,0.108440985035858,0.0917460676383807,1,FALSE
"mulligan_PMC13092435",-0.217903583855045,0.193087200882527,1,-0.219613272215859,0.203202776730529,1,FALSE
"lytras_fms_PMC12942207",0.885865589749078,0.229085727567153,1,-0.883681732791487,0.229085727567153,1,TRUE
"clusterset_PMC13140343",0.376238657019991,0.0114331722626434,1,0.0593019441315508,0.117861752549218,1,FALSE
"tereco_PMC8318721",-0.851499539487431,0.105338390170739,1,0.842797691973665,0.120539930277996,1,TRUE
"spadi_PMC4880881",-0.0436876169286269,0.169146046117727,0.666666666666667,-0.974920466439817,0.097514069057487,1,FALSE
"tscs_PMC13085461",-1.00263213959334,0.47632060133403,1,1.0301552645146,0.386317345758336,1,TRUE
"tdcs_PMC13257960",-1.4602553535518,0.0692691964751555,1,1.42370139220887,0.0569436079624499,1,TRUE
"etip_PMC6886967",0.191399403796848,0.0667885875940801,1,0.191594224595097,0.208864012738719,1,FALSE
"phosphatidic_PMC4891923",-0.104627777210148,0.0419399667683827,1,0.104627777210148,0.0419399667683831,1,TRUE
"facial_PMC11164989",-0.566646492789532,0.252238877630026,1,1.49482166205522,0.10061833786106,1,TRUE
"gainingmore_PMC10809978",0.0750414129377853,0.447727471374947,1,-0.0900509472501619,0.407481492980654,1,TRUE
"etre_PMC11945196",-1.24016288583254,0,1,-0.903433434176083,0.366244826724201,1,FALSE
"creatine_PMC11944689",0.00913723933264949,0.207182072838073,1,0.0445591169729494,0.212473894765199,1,FALSE
"free_PMC6733445",0.0910923357729172,0.0470464522085199,1,0.0910923357729172,0.0606977386446467,1,FALSE
"mallorca_PMC8198819",-0.315217401527501,0,1,-0.315217401527501,0,1,FALSE
