"study_id","n","has_baseline","baseline_imbalance_sd","cor_base_outcome","frac_missing","range_p","med_p","range_d"
"physiofeedback_PMC12821712",276,TRUE,0.0411475864826734,0.466426930663997,0,0.0917460676383807,0.108440985035858,0.160447769863474
"mulligan_PMC13092435",29,TRUE,0.162341272649153,0.632363076986193,0,0.203202776730529,-0.219613272215859,0.294396002872186
"lytras_fms_PMC12942207",40,TRUE,0.217087548466366,0.379032928180908,0,0.229085727567153,-0.883681732791487,0.229085727567153
"clusterset_PMC13140343",36,TRUE,0.10490318969147,0.984888493043425,0,0.117861752549218,0.0593019441315508,0.126185751888446
"tereco_PMC8318721",119,TRUE,0.16474158626075,0.612850325712493,0.0588235294117647,0.120539930277996,0.842797691973665,0.379677379736434
"spadi_PMC4880881",72,TRUE,0.108057018108901,0.485849828170829,0.0138888888888889,0.097514069057487,-0.974920466439817,0.131850988843339
"tscs_PMC13085461",20,TRUE,0.408856256379719,0.88202068855683,0,0.386317345758336,1.0301552645146,0.521911392296816
"tdcs_PMC13257960",20,TRUE,0.0711409506329056,0.19042899293469,0,0.0569436079624499,1.42370139220887,0.08656314136039
"etip_PMC6886967",91,TRUE,0.0379673122906584,0.548981047565749,0.351648351648352,0.208864012738719,0.191594224595097,0.269696159051586
"phosphatidic_PMC4891923",18,TRUE,0.0434202200902147,0.993838496147126,0,0.0419399667683831,0.104627777210148,0.0495315622741983
"facial_PMC11164989",24,TRUE,0.101387654733777,0.502032302267037,0.0416666666666667,0.10061833786106,1.49482166205522,0.24881034024326
"gainingmore_PMC10809978",39,TRUE,0.410651767529111,0.915239671466947,0,0.407481492980654,-0.0900509472501619,0.456732704552234
"etre_PMC11945196",16,TRUE,0.398339543186205,0.873329906835931,0,0.366244826724201,-0.903433434176083,0.385651819601071
"creatine_PMC11944689",64,TRUE,0.239004727121921,0.996905486901854,0.015625,0.212473894765199,0.0445591169729494,0.263350952878799
"free_PMC6733445",226,TRUE,0.0237191231194251,0.226733921494686,0.0530973451327434,0.0606977386446467,0.0910923357729172,0.197887084169776
"mallorca_PMC8198819",294,FALSE,NA,NA,0.105442176870748,0,-0.315217401527501,0.034011488504101
