"study_id","grid_type","n_spec","n","d_median","d_q25","d_q75","d_min","d_max","d_range","share_same_sign","share_ci_excl_0","mcid_d","mcid_source","share_abs_d_gt_mcid","share_ci_excl_mcid","s_median","s_min","s_max","ci_width_d_median","published_d","published_percentile","published_inside_range"
"clusterset_PMC13140343","defensible",36,36,0.0643600640713038,0.0559392062890086,0.156778002653402,0.0528470310068392,0.179032782895285,0.126185751888446,1,0,0.2,"cohen_small_0.2",0,0,1.49235572805932,0.609986864737185,2.28805505743557,0.298733269192586,NA,NA,NA
"creatine_PMC11944689","defensible",48,64,0.0431176688523638,0.0413502825425257,0.195719468160564,0.016330284536335,0.279681237415134,0.263350952878799,1,0.5,0.2,"cohen_small_0.2",0.229166666666667,0,3.17562249790633,0.345600156162225,5.42973138442188,0.155054162373406,0.0440997770491987,0.604166666666667,TRUE
"etip_PMC6886967","defensible",48,91,0.132210421271067,0.0802358282682332,0.185471269814366,-0.0161208756398762,0.25357528341171,0.269696159051586,0.9375,0,0.2,"cohen_small_0.2",0.1875,0,0.979747933803422,0.0700264705236067,2.01541533356728,0.96312330644179,0.191833451815221,0.8125,TRUE
"etre_PMC11945196","defensible",18,16,-0.915676139617686,-1.24016288583254,-0.886743046302235,-1.25956987870941,-0.873918059108339,0.385651819601071,1,1,0.2,"cohen_small_0.2",1,0.333333333333333,9.41026862846772,4.79786894466346,11.9513160460702,1.28312574628138,-0.905026791202848,0.5,TRUE
"facial_PMC11164989","defensible",30,24,1.5058550596778,1.45428123953032,1.55025503466764,1.35090436150135,1.59971470174461,0.24881034024326,1,0.833333333333333,0.2,"cohen_small_0.2",1,0.5,9.52719117500428,3.14775236982385,11.775284962038,1.76675386687937,NA,NA,NA
"free_PMC6733445","defensible",96,226,0.0919695737551791,0.0751852912704866,0.0977078891583497,-0.0604783554858417,0.137408728683934,0.197887084169776,0.947916666666667,0,0.2,"cohen_small_0.2",0,0,0.790386066128812,0.0360575763830891,1.04700301000092,0.682124445172265,0.136635290330863,0.96875,TRUE
"gainingmore_PMC10809978","defensible",18,39,-0.101920593423189,-0.467513371606063,-0.0600318786254086,-0.499052389189263,-0.0423196846370293,0.456732704552234,1,0,0.2,"cohen_small_0.2",0.333333333333333,0,1.07030376857814,0.348500496883052,2.95707252541518,0.585028989546996,-0.0767982357016106,0.666666666666667,TRUE
"lytras_fms_PMC12942207","defensible",9,40,-0.883681732791487,-1.01452250779739,-0.785436780230237,-1.01452250779739,-0.785436780230237,0.229085727567153,1,1,0.2,"cohen_small_0.2",1,0.666666666666667,7.34965472127039,5.34519787421021,8.20024953829911,1.31360039279448,-0.785436780230239,0.666666666666667,TRUE
"mallorca_PMC8198819","defensible",10,294,-0.301053418239204,-0.313094585755672,-0.295380698038223,-0.315217401527501,-0.2812059130234,0.034011488504101,1,0.8,0.2,"cohen_small_0.2",1,0,5.82094721302774,4.06225238882759,6.53282487738598,0.490053334329458,-0.319068593211434,0,FALSE
"mulligan_PMC13092435","defensible",18,29,-0.32471090713121,-0.329423540796642,-0.219613272215859,-0.411495908106729,-0.117099905234543,0.294396002872186,1,0,0.2,"cohen_small_0.2",0.833333333333333,0,1.52289083167931,0.394967304704693,1.94786237666482,1.4036027708833,NA,NA,NA
