"node","share","study_id","grid_type"
"outlier",4.59743647584253,"lymfit_PMC11171874","defensible"
"inference",0,"lymfit_PMC11171874","defensible"
"population",0,"lymfit_PMC11171874","defensible"
"transform",67.4869482911289,"lymfit_PMC11171874","defensible"
"outlier_scope",9.09717888738054,"lymfit_PMC11171874","defensible"
"covars",97.5968950039027,"clusterset_PMC13140343","defensible"
"outlier",0,"clusterset_PMC13140343","defensible"
"inference",0,"clusterset_PMC13140343","defensible"
"population",0,"clusterset_PMC13140343","defensible"
"transform",2.40310499609725,"clusterset_PMC13140343","defensible"
"outlier_scope",0,"clusterset_PMC13140343","defensible"
"baseline",88.6900386977511,"tereco_PMC8318721","defensible"
"covars",0,"tereco_PMC8318721","defensible"
"outlier",0.549578097213532,"tereco_PMC8318721","defensible"
"inference",0,"tereco_PMC8318721","defensible"
"population",1.26461208373602,"tereco_PMC8318721","defensible"
"transform",9.41624556169351,"tereco_PMC8318721","defensible"
"outlier_scope",0.0795255596058744,"tereco_PMC8318721","defensible"
"baseline",96.4440853588373,"spadi_PMC4880881","defensible"
"covars",0,"spadi_PMC4880881","defensible"
"outlier",0.856898930890714,"spadi_PMC4880881","defensible"
"inference",0,"spadi_PMC4880881","defensible"
"population",0.686624348189734,"spadi_PMC4880881","defensible"
"outlier_scope",2.01239136208222,"spadi_PMC4880881","defensible"
"baseline",87.3854060624532,"tscs_PMC13085461","defensible"
"covars",2.32626507040306,"tscs_PMC13085461","defensible"
"outlier",0.612462753614775,"tscs_PMC13085461","defensible"
"inference",0,"tscs_PMC13085461","defensible"
"population",0,"tscs_PMC13085461","defensible"
"transform",9.36963473672152,"tscs_PMC13085461","defensible"
"outlier_scope",0.306231376807387,"tscs_PMC13085461","defensible"
"baseline",89.2711520925044,"tdcs_PMC13257960","defensible"
"covars",0.116942060457518,"tdcs_PMC13257960","defensible"
"outlier",5.10055835440984,"tdcs_PMC13257960","defensible"
"inference",0,"tdcs_PMC13257960","defensible"
"population",0,"tdcs_PMC13257960","defensible"
"transform",0.766920593140135,"tdcs_PMC13257960","defensible"
"outlier_scope",4.7444268994881,"tdcs_PMC13257960","defensible"
"covars",82.3068322784145,"etip_PMC6886967","defensible"
"outlier",10.9921480459525,"etip_PMC6886967","defensible"
